#T r95_d30000_t3_64_128_256_512_1024_1280_1518
size: 64B, rate: 95%, link: 25000 Mbps, mpps: 35342262, dur: 30 sec, total: 1060267860, LossLimit: 10603 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381583,5585088,5524080,63179904,63185779,0
1690381584,5585397,5614454,68765301,68800233,0
1690381585,5585611,5570017,74350912,74370250,0
1690381586,5585088,5625142,79936000,79995392,0
1690381587,5585408,5531844,85521408,85527236,0
1690381588,5585344,5605625,91106752,91132861,0
1690381589,5585389,5625724,96692141,96758585,0
1690381590,5585571,5525002,102277712,102283587,0
1690381591,5585136,5612974,107862848,107896561,0
1690381592,5585357,5569103,113448205,113465664,0
1690381593,5585610,5626037,119033815,119091701,0
1690381594,5585129,5568541,124618944,124660242,0
1690381595,5585344,5550179,130204288,130210421,0
1690381596,5585403,5645564,135789691,135855985,0
1690381597,5585350,5524704,141375041,141380689,0
1690381598,5585609,5613737,146960650,146994426,0
1690381599,5606262,5628437,152566912,152622863,0
1690381600,5626158,5626148,158193070,158249011,0
1690381601,5625298,5575230,163818368,163824241,0
1690381602,3592342,3586469,167410710,167410710,0
1690381603,0,0,167410710,167410710,0
1690381604,0,0,167410710,167410710,0
1690381605,0,0,167410710,167410710,0
1690381606,0,0,167410710,167410710,0
1690381607,0,0,0,0,1
1690381608,0,0,0,0,1
1690381609,5502338,5508199,5502338,5508199,1
1690381610,5904431,5904433,11406769,11412632,1
1690381611,5862033,5897470,17268802,17310102,1
1690381612,5722942,5703685,22991744,23013787,1
1690381613,5585359,5569200,28577103,28582987,1
1690381614,5632174,5682481,34209277,34265468,1
1690381615,5625155,5622556,39834432,39888024,1
1690381616,5625150,5627752,45459582,45515776,1
1690381617,5625474,5621312,51085056,51137088,1
1690381618,5625069,5629218,56710125,56766306,1
1690381619,5625491,5625309,62335616,62391615,1
1690381620,5625216,5624647,67960832,68016262,1
1690381621,5624256,5624528,73585088,73640790,1
1690381622,5626011,5624532,79211099,79265322,1
1690381623,5625498,5624523,84836597,84889845,1
1690381624,5625099,5628052,90461696,90517897,1
1690381625,5625263,5620995,96086959,96138892,1
1690381626,5625297,5629582,101712256,101768474,1
1690381627,5625152,5624933,107337408,107393407,1
1690381628,5625820,5624661,112963228,113018068,1
1690381629,5625828,5624536,118589056,118642604,1
1690381630,5624768,5624529,124213824,124267133,1
1690381631,5625472,5628367,129839296,129895500,1
1690381632,5625920,5620681,135465216,135516181,1
1690381633,5625071,5630123,141090287,141146304,1
1690381634,5625425,5574982,146715712,146721286,1
1690381635,5626112,5626112,152341824,152347398,1
1690381636,5585088,5619374,157926912,157966772,1
1690381637,5585344,5569294,163512256,163536066,1
1690381638,3898454,3874644,167410710,167410710,1
1690381639,0,0,167410710,167410710,1
1690381640,0,0,167410710,167410710,1
1690381641,0,0,167410710,167410710,1
1690381642,0,0,167410710,167410710,1
1690381643,0,0,0,0,2
1690381644,0,0,0,0,2
1690381645,5257818,5263697,5257818,5263697,2
1690381646,5903739,5903706,11161557,11167403,2
1690381647,5862011,5898858,17023568,17066261,2
1690381648,5734960,5717152,22758528,22783413,2
1690381649,5585600,5569891,28344128,28353304,2
1690381650,5634496,5681541,33978624,34034845,2
1690381651,5624960,5574341,39603584,39609186,2
1690381652,5625984,5625969,45229568,45235155,2
1690381653,5585088,5619524,50814656,50854679,2
1690381654,5585350,5569331,56400006,56424010,2
1690381655,5585402,5569391,61985408,61993401,2
1690381656,5633088,5681316,67618496,67674717,2
1690381657,5624593,5624591,73243089,73299308,2
1690381658,5625391,5574587,78868480,78873895,2
1690381659,5624898,5625105,84493378,84499000,2
1690381660,5585150,5619818,90078528,90118818,2
1690381661,5585344,5569781,95663872,95688599,2
1690381662,5585600,5569402,101249472,101258001,2
1690381663,5634624,5682303,106884096,106940304,2
1690381664,5625600,5624793,112509696,112565097,2
1690381665,5625728,5624501,118135424,118189598,2
1690381666,5625148,5624525,123760572,123814123,2
1690381667,5625156,5627833,129385728,129441956,2
1690381668,5625984,5575375,135011712,135017331,2
1690381669,5625600,5625606,140637312,140642937,2
1690381670,11170496,11188329,151807808,151831266,2
1690381671,5585359,5569431,157393167,157400697,2
1690381672,5632690,5681380,163025857,163082077,2
1690381673,4384853,4328633,167410710,167410710,2
1690381674,0,0,167410710,167410710,2
1690381675,0,0,167410710,167410710,2
1690381676,0,0,167410710,167410710,2
1690381677,0,0,167410710,167410710,2
1690381678,0,0,167410710,167410710,2
1690381679,0,0,167410710,167410710,0
1690381680,0,0,167410710,167410710,0
1690381681,0,0,167410710,167410710,0
1690381682,0,0,167410710,167410710,0
1690381683,0,0,167410710,167410710,0
1690381684,0,0,167410710,167410710,0
1690381685,0,0,167410710,167410710,0
1690381686,0,0,167410710,167410710,0
1690381687,0,0,167410710,167410710,0
1690381688,0,0,167410710,167410710,0
1690381689,0,0,167410710,167410710,0
1690381690,0,0,167410710,167410710,0
1690381691,0,0,167410710,167410710,0
1690381692,0,0,167410710,167410710,0
1690381693,0,0,167410710,167410710,0
1690381694,0,0,167410710,167410710,0
1690381695,0,0,167410710,167410710,0
1690381696,0,0,167410710,167410710,0
1690381697,0,0,167410710,167410710,0
1690381698,0,0,167410710,167410710,0
1690381699,0,0,167410710,167410710,0
1690381700,0,0,167410710,167410710,0
1690381701,0,0,167410710,167410710,0
1690381702,0,0,167410710,167410710,0
1690381703,0,0,167410710,167410710,0
1690381704,0,0,167410710,167410710,0
1690381705,0,0,167410710,167410710,0
1690381706,0,0,167410710,167410710,0
1690381707,0,0,167410710,167410710,0
1690381708,0,0,167410710,167410710,0
size: 1024B, rate: 95%, link: 25000 Mbps, mpps: 2843630, dur: 30 sec, total: 85308900, LossLimit: 853 (0.001%)
TS(sec),TX(pps),RX(pps),totalTX(p),totalRX(p),Trial
1690381709,0,0,0,0,0
1690381710,2196836,2225991,2196836,2225991,0
1690381711,3008251,3008243,5205087,5234234,0
1690381712,3008568,3008246,8213655,8242480,0
1690381713,2959960,2959751,11173615,11202231,0
1690381714,2865283,2839512,14038898,14041743,0
1690381715,2865346,2865204,16904244,16906947,0
1690381716,2844584,2861820,19748828,19768767,0
1690381717,2844836,2836284,22593664,22605051,0
1690381718,2844608,2865433,25438272,25470484,0
1690381719,2868736,2865153,28307008,28335637,0
1690381720,2865264,2839610,31172272,31175247,0
1690381721,2864713,2864716,34036985,34039963,0
1690381722,2844599,2862165,36881584,36902128,0
1690381723,2844719,2836243,39726303,39738371,0
1690381724,2844705,2836456,42571008,42574827,0
1690381725,2869184,2894003,45440192,45468830,0
1690381726,2865284,2839518,48305476,48308348,0
1690381727,2865444,2865428,51170920,51173776,0
1690381728,2844607,2862514,54015527,54036290,0
1690381729,2844697,2836271,56860224,56872561,0
1690381730,2844736,2836608,59704960,59709169,0
1690381731,2869552,2893962,62574512,62603131,0
1690381732,2865040,2863672,65439552,65466803,0
1690381733,2865216,2866589,68304768,68333392,0
1690381734,2864960,2862617,71169728,71196009,0
1690381735,2865145,2867480,74034873,74063489,0
1690381736,2864897,2839130,76899770,76902619,0
1690381737,2864966,2864967,79764736,79767586,0
1690381738,2844592,2861741,82609328,82629327,0
1690381740,2699572,2679573,85308900,85308900,0
1690381741,0,0,85308900,85308900,0
1690381742,0,0,85308900,85308900,0
1690381743,0,0,85308900,85308900,0
1690381744,0,0,85308900,85308900,0
1690381745,0,0,0,0,1
1690381746,1926008,1955791,1926008,1955791,1
1690381747,3008909,3008237,4934917,4964028,1
1690381748,3008612,3008255,7943529,7972283,1
1690381749,2972622,2972477,10916151,10944760,1
1690381750,2864875,2839112,13781026,13783872,1
1690381751,2865218,2865224,16646244,16649096,1
1690381752,2844605,2862047,19490849,19511143,1
1690381753,2844703,2836473,22335552,22347616,1
1690381754,2844854,2836467,25180406,25184083,1
